indicator_id,compact_year,timeframe,q1,q2,q3,q4,yearly_target,percent_complete
ARMENIA_COMPACT-WIDE_0001,1,(Oct-2006 to Sept-2007),,,,25,,
ARMENIA_COMPACT-WIDE_0001,2,,,,,22.9,,
ARMENIA_COMPACT-WIDE_0001,3,,,,,29.1,,
ARMENIA_COMPACT-WIDE_0001,4,,,,,28.4,22.9,
ARMENIA_COMPACT-WIDE_0001,5,,,,,22.2,22.8,700%
ARMENIA_COMPACT-WIDE_0002,1,(Oct-2006 to Sept-2007),,,,89,,
ARMENIA_COMPACT-WIDE_0002,2,,,,,93,,
ARMENIA_COMPACT-WIDE_0002,3,,,,,87,,
ARMENIA_COMPACT-WIDE_0002,4,,,,,54,100,
ARMENIA_COMPACT-WIDE_0002,5,,,,,76,100,
ARMENIA_IRRIGATED AGRICULTURE_0001,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0001,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0001,3,,,,,,112,0%
ARMENIA_IRRIGATED AGRICULTURE_0001,4,,,,,"-4,423",561,-788%
ARMENIA_IRRIGATED AGRICULTURE_0001,5,,,,,,"1,099",0%
ARMENIA_IRRIGATED AGRICULTURE_0002,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0002,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0002,3,,,,,39.7,,
ARMENIA_IRRIGATED AGRICULTURE_0002,4,,,,,47.5,,
ARMENIA_IRRIGATED AGRICULTURE_0002,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0003,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0003,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0003,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0003,4,,,,,,500,0%
ARMENIA_IRRIGATED AGRICULTURE_0003,5,,,,,,"1,767",0%
ARMENIA_IRRIGATED AGRICULTURE_0004,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0004,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0004,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0004,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0004,5,,,,,,"69,111",0%
ARMENIA_IRRIGATED AGRICULTURE_0005,1,(Oct-2006 to Sept-2007),,,,0,"1,408,000",0%
ARMENIA_IRRIGATED AGRICULTURE_0005,2,,,,,"1,500,000","1,500,000",100%
ARMENIA_IRRIGATED AGRICULTURE_0005,3,,,,,"1,510,000","1,510,000",100%
ARMENIA_IRRIGATED AGRICULTURE_0005,4,,,,,0,"1,500,000",0%
ARMENIA_IRRIGATED AGRICULTURE_0005,5,,,,,"1,319,238","1,500,000",88%
ARMENIA_IRRIGATED AGRICULTURE_0006,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0006,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0006,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0006,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0006,5,,,,,,"1,375,000",0%
ARMENIA_IRRIGATED AGRICULTURE_0007,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0007,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0007,3,,,,1.3,1.3,1.3,100%
ARMENIA_IRRIGATED AGRICULTURE_0007,4,,1.8,15.1,19.9,19.9,15.2,131%
ARMENIA_IRRIGATED AGRICULTURE_0007,5,,29.5,41.2,41.8,41.8,41.8,100%
ARMENIA_IRRIGATED AGRICULTURE_0008,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0008,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0008,3,,,,,29,78,37%
ARMENIA_IRRIGATED AGRICULTURE_0008,4,,61,146,223,223,244,91%
ARMENIA_IRRIGATED AGRICULTURE_0008,5,,223,225,267,267,244,109%
ARMENIA_IRRIGATED AGRICULTURE_0009,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0009,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0009,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0009,4,,,,,,,
