country,project,submission_date,activity,subactivity,indicator_id,indicator_level,indicator,classification,unit,baseline,actual_to_date,end_of_compact_target,percent_complete_to_date,notes
Armenia,Compact-wide,"November 29, 2011",All Activities,N/A,ARMENIA_COMPACT-WIDE_0001,Goal,Poverty rate in rural areas,Level,Percentage,22.9,22.2,22.8,700%,"The poverty rate has decreased from 29.1 in 2009 to 28.4 in 2010. However, please note, that this decrease is recorded based on the old methodology, when certain variables were not counted, say, serviceable life of consumer goods/electronics, etc. According to the NSS new methodology, we have a different picture where poverty increases with 1.1 percentage points. To illustrate, poverty rate in rural areas is 34.9 in 2009 and 36.0 in 2010. 2011 data will be reported in November 2012."
Armenia,Compact-wide,"November 29, 2011",All Activities,N/A,ARMENIA_COMPACT-WIDE_0002,Goal,Change in real income from agriculture in rural areas,Level,Index,100,76,100,,According to the provided data the index is 54 for 2010 (quite low compared to 87 in 2009). 2011 data will be reported in November 2012.
Armenia,Irrigated Agriculture,"November 29, 2011",All Activities,N/A,ARMENIA_IRRIGATED AGRICULTURE_0001,Outcome,Increase in area covered by high value-added crops (HVA),Cumulative,Hectares,0,"-4,423","1,099",-402%,"This indicator measures additional land under HVA from all trained farmers (estimated to be 52,000), but does not take into account what would have happened without the project."
Armenia,Irrigated Agriculture,"November 29, 2011",All Activities,N/A,ARMENIA_IRRIGATED AGRICULTURE_0002,Outcome,Share of respondents satisfied with irrigation services,Level,Percentage,49,47.5,,,Another actual for this indicator will be reported in 2012.
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0003,Outcome,Additional land irrigated under project,Cumulative,Hectares,0,,"1,767",0%,The actual for this indicator will be reported in 2014 from the impact evaluation.
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0004,Outcome,Hectares under improved irrigation,Cumulative,Hectares,0,,"69,111",0%,The actual for this indicator will be reported in 2014 from the impact evaluation.
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0005,Outcome,Government budgetary allocations for maintenance of irrigation system,Level,Armenian Drams,,"1,319,238","1,500,000",88%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0006,Outcome,Annual energy savings under project,Cumulative,Kilowatt Hours,0,,"1,375,000",0%,The actual for this indicator will be reported in 2012.
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0007,Output,Primary canals rehabilitated,Cumulative,Kilometers,0,41.8,41.8,100%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0008,Output,Primary canal structures constructed,Cumulative,Number,0,267,244,109%,
