category	code	title	url	format
Annual Report	B01	2011 Annual Report	http://www.mcc.gov/documents/reports/2012-001-0966-02-MCC_2011_annual_report.pdf	application/pdf
Annual Report	B01	2010 Annual Report	http://www.mcc.gov/documents/reports/report-2011001049801-2010annual.pdf	application/pdf
Annual Report	B01	2009 Annual Report	http://www.mcc.gov/documents/reports/report-2010001002007-annual-web.pdf	application/pdf
Annual Report	B01	2008 Annual Report	http://www.mcc.gov/documents/reports/mcc-2008-annualreport.pdf	application/pdf
Annual Report	B01	2007 Annual Report	http://www.mcc.gov/documents/reports/mcc-2007-annualreport.pdf	application/pdf
Annual Report	B01	2006 Annual Report	http://www.mcc.gov/documents/reports/mcc-annualreport-2006.pdf	application/pdf
Annual Report	B01	"Agency Financial Report, Fiscal Year 2011"	http://www.mcc.gov/documents/reports/report-fy2011-afr.pdf	application/pdf
Annual Report	B01	"Agency Financial Report, Fiscal Year 2010"	http://www.mcc.gov/documents/reports/report-fy2010-afr.pdf	application/pdf
Annual Report	B01	"Agency Financial Report, Fiscal Year 2009"	http://www.mcc.gov/documents/reports/report-fy2009-afr.pdf	application/pdf
Annual Report	B01	"Performance Accountability Report, Fiscal Year 2008"	http://www.mcc.gov/documents/reports/mcc-2008-par.pdf	application/pdf
Annual Report	B01	"Performance Accountability Report, Fiscal Year 2007"	http://www.mcc.gov/documents/reports/report-fy2007-par.pdf	application/pdf
Annual Report	B01	"Performance Accountability Report, Fiscal Year 2006"	http://www.mcc.gov/documents/reports/report-fy2006a-par.pdf	application/pdf
Annual Report	B01	"Performance Accountability Report, Fiscal Year 2005"	http://www.mcc.gov/documents/reports/report-fy2005-par.pdf	application/pdf
Strategy Paper	B02	MCC's Approach to Country Ownership	http://www.mcc.gov/documents/reports/mcc-021209-workingpaper-ownership.pdf	application/pdf
Strategy Paper	B02	Aid Effectiveness: Putting Results and the Forefront	http://www.mcc.gov/documents/reports/mcc-112008-paper-results.pdf	application/pdf
Strategy Paper	B02	Millennium Challenge Corporation and the Long Term Goal of Deepening Democracy	http://www.mcc.gov/documents/reports/mcc-112007-paper-democracy.pdf	application/pdf
Strategy Paper	B02	MCC's Role in the Fight against Corruption	http://www.mcc.gov/documents/reports/mcc-workingpaper-corruption.pdf	application/pdf
