fund,country_id,code2,type,start,end,notes
3220,BFA,BF,,,,n/a
3220,JOR,JO,,,,n/a
3220,LSO,LS,,,,n/a
3220,MDA,MD,,,,n/a
3220,MNG,MN,,,,n/a
3220,MOZ,MZ,,,,n/a
3220,NAM,NA,,,,n/a
3220,SEN,SN,,,,n/a
3220,SLV,SV,,,,n/a
609G,ARM,AM,,,,n/a
609G,BEN,BJ,,,,n/a
609G,BFA,BF,,,,n/a
609G,CP2,,,,,n/a
609G,CPV,CV,,,,n/a
609G,GE2,,,,,n/a
609G,GEO,GE,,,,n/a
609G,GHA,GH,,,,n/a
609G,IDN,ID,,,,n/a
609G,JOR,JO,,,,n/a
609G,LSO,LS,,,,n/a
609G,MDA,MD,,,,n/a
609G,MDG,MG,,,,n/a
609G,MLI,ML,,,,n/a
609G,MOZ,MZ,,,,n/a
609G,MWI,MW,,,,n/a
609G,NA,,,,,n/a
609G,NAM,NA,,,,n/a
609G,NIC,NI,,,,n/a
609G,PHL,PH,,,,n/a
609G,SEN,SN,,,,n/a
609G,TZA,TZ,,,,n/a
609G,ZMB,ZM,,,,n/a
614G,HND,HN,,,,n/a
ADMIN,AFS,,ADMIN,,,n/a
ADMIN,ALB,AL,ADMIN,,,n/a
ADMIN,ARM,AM,ADMIN,,,n/a
ADMIN,BE2,,ADMIN,,,n/a
ADMIN,BEL,BE,ADMIN,,,n/a
ADMIN,BEN,BJ,ADMIN,,,n/a
ADMIN,BFA,BF,ADMIN,,,n/a
ADMIN,BOD,,ADMIN,,,n/a
ADMIN,BOL,BO,ADMIN,,,n/a
ADMIN,COL,CO,ADMIN,,,n/a
ADMIN,CP2,,ADMIN,,,n/a
ADMIN,CPV,CV,ADMIN,,,n/a
ADMIN,ECM,,ADMIN,,,n/a
ADMIN,GAB,GA,ADMIN,,,n/a
ADMIN,GAO,,ADMIN,,,n/a
ADMIN,GE2,,ADMIN,,,n/a
ADMIN,GEO,GE,ADMIN,,,n/a
ADMIN,GER,,ADMIN,,,n/a
ADMIN,GH2,,ADMIN,,,n/a
ADMIN,GHA,GH,ADMIN,,,n/a
ADMIN,GMB,GM,ADMIN,,,n/a
ADMIN,GSS,,ADMIN,,,n/a
ADMIN,GUY,GY,ADMIN,,,n/a
ADMIN,HND,HN,ADMIN,,,n/a
ADMIN,IDN,ID,ADMIN,,,n/a
ADMIN,ITS,,ADMIN,,,n/a
ADMIN,JOR,JO,ADMIN,,,n/a
ADMIN,KEN,KE,ADMIN,,,n/a
ADMIN,KGZ,KG,ADMIN,,,n/a
ADMIN,LBR,LR,ADMIN,,,n/a
ADMIN,LKA,LK,ADMIN,,,n/a
ADMIN,LSO,LS,ADMIN,,,n/a
ADMIN,MAR,MA,ADMIN,,,n/a
ADMIN,MDA,MD,ADMIN,,,n/a
ADMIN,MDG,MG,ADMIN,,,n/a
ADMIN,MID,,ADMIN,,,n/a
ADMIN,MLI,ML,ADMIN,,,n/a
ADMIN,MNG,MN,ADMIN,,,n/a
ADMIN,MOZ,MZ,ADMIN,,,n/a
ADMIN,MRT,MR,ADMIN,,,n/a
ADMIN,MWI,MW,ADMIN,,,n/a
ADMIN,NA,,ADMIN,,,n/a
ADMIN,NAM,NA,ADMIN,,,n/a
ADMIN,NER,NE,ADMIN,,,n/a
ADMIN,NIC,NI,ADMIN,,,n/a
ADMIN,NPL,NP,ADMIN,,,n/a
